claims_verbatim,trump_stance
"abortion is health care; my body, my choice, my country, my voice; mother fuckin girl power; convicted felon and rapist for potus / despicable; health care for all; people not profit; follow the science not an oligarch; westborough uu's for all the people; power of the people is stronger than people in power; i can't believe i still have to protest this shit; i will not go quietly back to the 1950s; we believe sience is real / women rights are human rights / black lives matter / no person is illegal / love is love / diversity makes us stronger; usa flag; ; broligarch$ get your greedy hands off our democracy [red hand prints]; abortion is a right; presidents [not equal] kings; america runs on nasty women; women's rights / reproductive rights / trans rights / are human rights; i don't regret my abortion; our bodies our choice our rights [drawing of female family members, rainbow pride flag, and female gender symbol]; the court of supreme injustice; get your bans off our bodies; no justice no peace; one human family; a message to the smallest man who ever lived; denying healthcare is a crime from boston to palestine; publish the era; equal rights for all; no trump / no musk / no fascists; democracy not oligarchy; we need to talk about the elephant in the womb; liberty justice for all; make america kind again; resist ffotus; rainbow pride flag; wait, a convicted felon can be president?; women against republicans; impeach trusk; black women deserve better [partial sign]; they create a distraction to divide us; my queer kids have rights too; we are the granddaughters of the witches you weren't able to burn; keep your theology off our biology; i march so maybe my kids won''t have to one day; abortion is healthcare; love your neighbor; not today patriarchy; racism and misogyny are injustices to us all; wait, a convicted felon can be president?; super callous fascist racist extra braggadocious [donald trump]; i googled my symptoms / turns out i just need trump in prison; if you can ignore rape you can ignore [women's] bodies; mother fuckin girl power",Anti-Trump
we won't back down; our freedoms our futures our fight; we rise we resist; choice for our grand daughters; smart men respect strong women; women's rights are human rights; don't tell me to smile; make america think again; we stand with our libraries and schools that teach us the truth; restore reproductive rights; i have the right to remain silent but i shall not do so; i want you to act as if our house is on fire because it is [globe]; bans off my body; trump = felon / not abortion care providers; all are welcome; we are marching forward; wake up & smell the corruption,Anti-Trump
"free palestine; trump's dictionary the american dream (noun) the ideal by which equality of opportunity is available to any rich, white, cisgender, heterosexual man, allowing the highest aspirations and goals to be achieved; regulate ejaculation / it causes 100% of pregnancies; black lives matter; abolish ice; we keep us safe [red triangle] / bash back; resist the broligarchy",Unclear
oligarchy is fleecing america; i can't see but i can see this bullshit; love makes america great; injustice anywhere is a threat to justice everywhere; abortion is essential; beware / fascism ahead / resist; justice for all means for all; dismantle the patriarchy; there will always be good people who do good bad people who do evil but for good people to do evil that takes religion / support justice and peace for palestinians; protest is patriotic; in a world full of trumps be a jimmy carter; housing + healthcare & food / justice for all; seeds of resistance; liberty and justice; bans off our bodies; stop project 2025; liberate decolonize; women's rights are human rights; people over politics,Anti-Trump
no kkk! no fascist usa! no trump!; love one another; silence is compliance; [male] equal [female]; democracy over oligarchy; do the right thing not the white thing; no king in my country; we won't go back; healthcare for all; palestine flag; get out of puerto rico / my body my choice,Anti-Trump
"we will overcome; trans rights are human rights; make america think again; bans off our bodies; together we rise; freedom to read / freedom to live / freedom to love; not my president; equality harms no one; the government will not control us; fierce urgency of now [earth]; no retreat, baby no surrender; stop the money pipeline to climate destruction; roe v. wade or die; together we fight for all; i will not quietly go back to the 1950s; sun / we build; f*ck trump; peace; abortion is health care; in our america / all are respected / love prevails / black lives matter / women are in charge of their bodies / immigrants & refugees are welcome / protecting the planet / people over profit; be the change you want to see in the world; earth flag; resist fascism (trump); protect women and children / pass the era; renew; trans rights are human rights; capitalism to peopleism",Anti-Trump
elon hacked 2024; immigrants make america great / deport the racists instead; things which do not grow & change are dead / chokma 'shki yurok kapuk hupa; progress pride flag; resting bitch face [donald trump],Unclear
trump flag; make america great again; we should have no communists in public service!; where's the water; karen doesn't care; usa flag; bass quit now,Pro-Trump
equal rights / bodily autonomy / [no] haye and all that jazz; women's rights are human rights; resist! persist! rise up!; we believe / science is real / black lives matter / love is love / no human is illegal / women's rights are human rights; we are all immigrants; stand for democracy; the future is not up there [trump tower],Anti-Trump
"abort project 2025; no trump! no kkk! no fascist usa!; trans pride flag; my criminal mayor & president met at mar-a-lago; you deserve prison...but you won't get time; rainbow pride flag; protect black & brown lgbtq+ asylum seekers; we're loud! defiant! extremely noncompliant!; stand against hate & bigotry / stand up for the most at risk under trump; protect trans kids; i wasn't old enough to vote in the election, but because of yours, i'm going to lose my basic human rights; fuck trump; don't like abortion? ignore it like you do climate change & mass shootings; my body / my choice / my country / my voice; girls just wanna have fundamental rights; no fear queer; when men post ""your body my choice"" something has gone terribly wrong; trans rights are human rights; if it's not your body it's not your decision; i dissent; resist this shit; control guns not my body; we fight for: / civil rights / black lives / womens rights / lgbtq rights / immigrant rights; fix the political system now; trump mind your own body not mine / women's health care trumps trump; trans exist / trans resist / trans rights forever; trans rights over cis comfort; i can't believe we're protesting this [shit] again; new yorkers for abortion access; black teachers matter; billionaires need to learn how to share; felon [donald trump]; say no to trump; neutrality helps the oppressor; gays against guns; women's rights are human rights; fight fascism; we do not concede the fight; no justice! no peace!; no to oligarchy / save democracy; i can't believe i have to do this again; new york city council: why is our legislation being held hostage? / retirees vote; my body my rights; don't touch my girlfriend's rights; new york hates trump; against nazis, tarrifs, insurrectionists, fox news & assholes; i'm 17 and want to still have reproductive rights at 18; you'll never know the comfort of our silence again; usa flag; black lives matter; depose the oligarchy now; 49.8% is not a landslide [donald trump]; fascist [donald trump]; rapist [donald trump]; fraud [donald trump]; psychopath [donald trump]; con man [donald trump]; presidents are not kings; trump lies democracy dies; we won't wait / smash the patriarchy; no you can't break our spirit",Anti-Trump
"israel flag; gaza is guilty; trump is going to deport your ass very soon, don't you worry!",Unclear
women's rights are human rights; healthcare is a human right; if old men could get pregnant abortion would be legal; speak up; still we must march; exercise your right to vote / refuse to be silenced / take back your power; no more stolen sisters; see it like it is; power to the people; hate will not make us great; it's not left vs right / it's up vs down / the people united will never be divided; they will stop degrading us / they cannot control us; recreating her story [rainbow female gender symbol]; women empower women; love one another / every single other; can't believe we are still marching; we will build new systems; keep your laws off my body; pro-america / anti-trump [usa flag]; join us / edmond democratic women,Anti-Trump
"the time to free them all is now; free palestine; palestine flag; shut down nwdc; climate justice; black liberation; migrant justice; defend trans lives; land back; stop funding genocide; union strong; chinga la migra; free free palestine!; people's march; ""if you are neutral in situations of injustice you have chosen the side of the oppressor."" -desmond tutu; end the siege of gaza; love wins; good trouble; one day the poor will have nothing left to eat but the rich; protect kids not guns; the people vs. the 1%; fuck trump flag; defend immigrants' rights to unionize & strike",Anti-Trump
civil rights are family values; if it isn't intentional it isn't feminism; immigrant rights; palestine flag; make america kind again; i stand with planned parenthood; eat more billionaires; well-behaved women seldom make history; ruth sent us; girls just wanna have fundamental rights; blm; don't tread on me [uterus]; a woman's place is in the resistance; let the people resist; love not hate makes america great; usa flag; protect mother earth & all her creatures; immigrants built america; we will not go back; eat the rich; show me what democracy looks like!; survivors don't speak up because their abusers become president; our body our choice; bans off our bodies; we fight! we win!; human rights for all people; we can no longer afford apathy; uteruses before duderuses; men of quality do not feat equality; democracy = / freedom from racism / $15 living wage / clean energy / public education / affordable housing / health care for all / equal justice / path to citizenship / peace + safety / yes; crooked trump is the illegal / sad; nasty and woke; america: land of the free roaming misogyny,Anti-Trump
"palestine flag; rainbow pride flag; we all belong; abortion is her choice not yours; keep your god off my bod; stand together; my body my choice; land back; protect mother earth; the future is abolitionist; boycott all business that supports rapist pedophiles and violence; maine 350; trump is a fraud + felon; resist again; truth to power; femi-nazis against actual nazis; felon 34 is a rapist racist; march forth / dc was just the begininng; we will never surrender; people power; love / peace / justice / togheter; good atmospheres are hard to find [earth]; truth to power; people [over] profit; freedom over fascism; [earth] > politics; t-rump / vulgar / cruel / selfish / convict; money doesn't make civilizations / moms do / show respect; free palestine; shame must change sides; i have decided to stick with love. hate is too big a burden to bear. / m.l. king jr.; peace / love / resist; love trumps hate; all we have is each other; era forever; my body belongs to me; it's a war on women; equality dignity respect for all; truth will prevail; america you have to think about your soul -annie devine; if you are not outraged, you are not paying attention; abortion is healthcare; trump = felon in chief; why am i ""still"" fighting for my rights in 2025?; bans off our bodies; do you hear the people sing?",Anti-Trump
i stand with planned parenthood; stand with black women; bans off our bodies; trans rights are human rights; the force is with us; my body my vote; abortion is health care; we the people protect each other; nazi trump fuck off; i'm with her,Pro-Trump
our voice is our power; greed over people; when injustice becomes law resistance becomes duty; abortion is healthcare; my body my choice / my country my voice; we won't go back; people's march / fired up? follow up; keep your rosaries off my ovaries; ikea has better cabinets; truth matters; no kkk / no fascist usa / no trump; make lying wrong again; democracy not oligarchy; so bad even the introverts are here; no sign is big enough to list all the reasons i am here; usa flag; power in people not in money; we will not be silenced [tiktok]; black lives matter; hate never made anything great; respect my existence or expect my resistance; men of quality do not fear equality; trust & protect queer kids; progress pride flag,Anti-Trump
"liberation for all; feminists stand for peace / stop israeli war crimes / end u.s. tax dollars for israel; palestine flag; free palestine!; usa flag; never again [wire hanger]; resist maga fascists; mind your own uterus; palestine flag; 3rd generation anchor baby; fuck ice; fight ignorance not immigrants; liberty & justice for all; if you don't fight for all women you fight for no women; veterans against trump; dissent is patriotic; love not hate; united we stand [christianity] [judaism] [islam]; trump coward nra yes man; upside-down american flag; the revolution will not be televised / turn the tv off; your silence will not protect you; disability rights are human rights; i time-traveled for this?; republicans are not healthy for women and other living things; it's our turn to stand guard; legally brown; a woman's place is in the house, the senate, and the revolution; vote for freedom / vote for democrats; trump end the war; palestine / code pink; all are welcome here; ceasefire now; mike levin supports genocide; hurricane in nc / fires in la / wake up; you pay big oil [fire]; bite the rich [dog]; make empathy great again; injustice anywhere is a threat to justice everywhere; not enough room on this sign to list all the reasons why i'm here; the handmaid's tale is not an instruction manual; my legacy: i did not go quietly; history repeats itself... in the worst ways; health care is a human right; protect your daughter / educate your son; what's worse than a yeast infection? trump as president; history will remember if we resist; privilege: when something isn't a problem because it doesn't affect you; resistance is vital to stop the war on women; the enemy doesn't arrive by boat but by limousine; trans rights are human rights; don't frack our future; a right delayed is a right denied; democracy demands a free press; san diegans for climate justice; polluters profit, we pay for damages - price carbon now; the earth is speaking / listen before it's too late; climate action now; don't just exist, resist; leaders lead by example / felons belong in jail; thoughts and prayers [strikethrough] policy and change",Anti-Trump
"resist; dignity, respect and justice for all; fight like a girl [wonder woman]; if you are not outraged you are not paying attention [pride progress flag] [female gender symbol]; he's baby whiner [donald trump]; somos resistencia; make america great again / make billionaires even richer / obey [changing photo of trump]; no oligarchy in america; keep abortion legal; palestine flag [raised fist], latino task force; reject maga / build a just society / reject hate / movement voter project bay area; block maga; el pueblo organizado! no serã¡ deportado!; mexico flag; no words left only screams / aaaaaa [mouse]; fight like a girl; mega fires / extreme weather / biodiversity loss / heat looms / atmospheric rivers; not my president / the fucking sequel; stop rebuplicon traitors [tesla and amazon logos]; we will rise; stand together; absolutely not; rise up; grifter in chief [donald trump]; [oil painting of elon musk holding a leash attached to donald trump]; were my civil rights getting in the way of your misogyny",Anti-Trump
trump vance / make women's sports for females only again; protect women's sports / thank you boise state; women's rights mean nothing when men can say they're women; trans women are men / yes we said it fine us; men cannot be lesbians ever / yes we said it fine us; all women deserve freedom of speech; repeal sb 132 / get men out of women's prisons,Unclear
"women's rights are human rights; ban forced birth; we won't go quietly; my body my choice; freedom; democracy not dectatorship [usa flag]; what about my heartbeat? / overturn roe? hell no / abort the patriarchy; congress + justices: remember your oaths; veterans against trump; don't let the broligarchs keep you down; musk: go to mars and stay there; immigrants pay taxes too / keep them safe; protect water, climate, and communities; immigrants built this country / keep them safe; free palestine",Anti-Trump
"knees off women's necks; stronger together; roe roe roe your vote; yes to rule of law; unity + equality = power; stand up for truth & justice; usa flag; gop hands off me [wildcat]; don't silence the science; caution: mother / proceed with care; un-acceptable; abortion saves lives; fuck your feelings; it is on mofos; trans rights are human rights; it's so scary even introverts are here; the handmaid's tale is not an instruction manual; support your sisters not just your cisters; expect resistance; this is what democracy looks like!; reproductive rights are human rights; we won't go back / equal rights are human rights; rip medicare; rip women's rights; when injustice becomes law resistance becomes duty / deny, defend, depose; the power of the people is stronger than the people in power; usa flag; rip the constitution; abort the court; trump not my fuhrer; deny comfort to the oppressor / defend the poor and sick / depose the capitalist oligarchy; liberty and justice for all / she is watching [statue of liberty]; fuck this shit; white supremacy is terrorism; it's not a debate, it's my life; resist oligarchy; bigotry is (still) bad; our voices together cannot be silenced; abortion is health care / bans off our bodies; when hate is loud love gets louder; people over profit; resist for those who cannot; voting rights are civil rights; things elon owns / [tesla] / [x] / [donald trump]; universal healthcare; corruption lies greed and hate do not make america great; out of the mountain of despair, a stone of hope -mlk",Anti-Trump
"demand change / ignite hope; immigrants make us great; protect trans youth; resist hate racism corporate greed / protect trans/queer folk climate healthcare immigrant rights bodily autonomy; climate action now; this musk stinks [elon musk]; we make our future; we rise / we resist / we march; our power / people power; we will not be silent; we won't back down; united for change / marching for our future; always a slut for equal rights; together we can / together we will; trust black women; upside-down american flag; equal rights amendment now; bans off our bodies flag; era now; we are the granddaughters of the witches you couldn't burn; trump: / rapist / seditionist / felon; fuck all u old hags in charge; my 2 daughters deserve better; jesus saves; usa flag; only love can drive out hate -mlk; do not trust him / he is a fugly slut [donald trump]; we are overdue for a revolution; feral feminists fighting fascism; laws off my body; listen to black women god damn; lgbtqia+ equality; bisexual pride flag; donald trump felon; wannabe dictator; to all the men feeling attacked right now...maybe you should try smiling; if you don't have hope have spite [orca]; i've seen better cabinets at ikea; rbg sent me; this episode of handmaid's tale sucks; if you are not outraged you are not paying attention; so bad even introverts are here; i know, i know, i'm standing up for myself i am such a bitch; save democracy; what the actual fuck is going on? are you fucking kidding me right now?; eat more rich people; ""democracy, you in danger girl""; ""i can't today, marge. i'm busy watching the season finale of the united states.""; pissed off women will save this country; men of quality don't fear equality; keep abortion legal; march like your future depends on it; keep your laws off my body; vote for equality; keep your tiny hands off my uterus; the hardest decision a woman has to make isn't yours; regulate your dick; i march for my daughter; earth says no to fascism; usa flag; we will not go back! we will not go back!; resist; hey hey! ho ho! these fascist [inaudible] have got to go!; socialism beats fascism; rainbow pride flag; regulate guns not women; trump for leavenworth; respect women of color; reproductive freedom for all; in what world do i have to fight for control over my own body; liberty and justice for all; keep your policies off my body; stand up, fight back! stand up, fight back!; climate emergency; we're dying to learn; this is our dunkirk / be the little boats; my existence is not political; control guns not girls; show me what democracy looks like! this is what democracy looks like!; no maga deep state; palestine; gop is okay with killing women; mothers against police brutality; i won't keep quiet; my abortion saved my heartbeat; just do your f*ckin job; love trumps hate; stop police brutality / end qualified immunity; our home our rules [dc flag]; fire killer cops / protect our community; stop cop nation / we keep us safe; who keeps us safe! we keep us safe!; our bodies, our choice!; no justice no peace!; not in our name; let gaza live; palestine is a feminist issue; jews for palestinian freedom; palestine flag; we only lose if we stop fighting; stop arming israel with u.s. taxpayer dollars; a woman's place is in the resistance; free palestine [watermelon]; jews say stop arming israel; queer rights are human rights; when a gun's got more fucking rights than a girl...; resist trump's extreme agenda; my body, my choice!; progress pride flag; when do i get to make decisions about men's bodies?; if the fetus you save is gay, will you continue to protect its rights?; if my abortion is going to get me a murder charge i might as well kill my rapist; big ick energy; people over politics; safe abortion is a human right; hate never made america great; action is the antidote to despair; what do we want! freedom! when do we want it! now!; still a loser [donald trump]; keep going; my future is burning / wake up / it's a climate emergency; hey hey ho ho the nra has got to go; i will not learn your hate; enough violence; no mercy for fascism; she is the reason we're all here [earth]; blood is on the government's hands; never again [wire hanger]; slava ukraini; if it's not your body it's not your choice / bans off our bodies; when injustice becomes law, resistance becomes duty; i'm not old enough to adopt a baby but the government can still force me to birth one; i'm so tired of old white men; our future / our democracy; don't touch my uterus ayy don't touch my uterus!; today is a day of love not jan 6; real men are feminists; feminists vs. fascists; rip bees; rip 15c; fuck trump!; trans lives matter!; we can do hard things; say no to trump; respect existence or expect resistance; people, people can't you see what freedom means for me!; we love you joe; bring my senorita back; luigi before parasites; deny defend depose; every day we will fight his hate [donald trump]; rebellion / resistance / revolution / whatever you call it / we are here; no rapist will ever tell me what to do; eat the ceos; hot to go / billionaires have got to go; justice for the earth & all who call her home; trans is beautiful; nevaeh crane + joselli barnica should be alive / women's rights = human rights; stop bombing children w/our $$ / free palestine; reinstate roe v. wade; much more in common than they'd like us to believe; $$ for people not the planet war machine; thou shalt not mess with a woman's reproductive rights; queer as in save democracy; women against war; equality is a human right; starved, terrorized, killed / warsaw ghetto, 1940 / gaza today; if my vagina could should bullets it'd be less regulated; can't comb over... / misogyny / rape / racism / ableism / bigotry / homophobia / felony / and the list goes on; nope [donald trump's hair]; ugh, where do i even start?; how can so much shit come out of one asshole [donald trump]; know your parasites / deer tick / dog tick / lunatick [donald trump]; genocide = ecocide; palestinian women are our sisters; feminism not militarism; love has no borders; reproductive rights are human rights; dad. husband. feminist.; love doesn't see gender; love conquers all; hate won't make america great only love will; from palestine to mexico all the walls have got to go; think for yourself (godamn it); dei saves lives; make america kind again / we owe it to the children; if i make my uterus a corporation will you stop regulating it?; women come rise up; organize / agitate / educate; queer liberation; respect our existence or expect our resistance; wish list / 1. healthcare for all / 2. a roof over our heads / 3. decency / 4. a fighting chance [peace]; hope over fear; give earth a chance; teachers make your jobs possible; keep billionaires out of politics [elon musk]; abortions should be free; where is our line? when will we storm the capitol?; i love abortion!; men need vasectomies!; no king; deport melania not mexicans; our freedoms, our futures, our fight; people, people canât you see! what freedom means for me!; mind your own uterus; peace tank; the women of gaza are our sisters / code pink; end war; remove the racist in chief; queer love will not die no matter how much you all try; audre lorde: ""your silence will not protect you""; how many floods are enough?; ""i'm sick and tired of being sick and tired"" fannie lou hamer; extinction or rebellion; rip coral; rip corps; rip la; rip bees; rip 1.5c; ukraine flag; tr*mp is the criminal not my immigrant parents; trump is how democracy dies; feminists trump fascists; proj 2025 = death; [cartoon of donald trump as a baby wearing a diaper with tesla logo]; i would have died w/o my abortion; this pussy grabs back; he who hath no uterus shall shutteth the fuck up; take up space; if god hates gays then why are we so cute?; did you buy the planet dinner before you fucked it?; silence is betrayal / i will not stay silent; my immigrant family pays more taxes than trump; trump is an unstable penis; no sign is big enough to list all the reasons iâm here; i carried this sign in 2017 / donât make me come back; have hope; we can do this / unite inform resist support motivate; fuck this klepto-corpocracy; trumpâs immigrant wives: ivana, melania, elon; your ignorance is killing us / ask me about amber thurman; elect a clown / expect a circus [donald trump as a clown]; queers against genocide; we the people [shepard fairey's posters]",Anti-Trump
"freedom from war, violence, and environmental destruction; gaslighter [donald trump]; trump hates: women / the law / law enforcement / working people / african-americans / the poor / unions / real news / latinos / educated people / gay people / critical thinkers / climatologists / you; era now; thank you sec of int. haaland; upside-down american flag; power to the people; heads roll when democracy fails / stop corporate greed; we will not go quietly back to the 1950s; equal rights for all; stop funding war and killing; so bad even introverts are here; teach girls to be somebodies not nobody's; mmir; people, planet, peace over profit; new mexico flag; and still we rise; free palestine; palestine flag; black lives matter flag; ruth sent us; when we fight, we win; angry women will change the world; free luigi; it takes action to make change; together we have power; stay strong & active & hopeful / stay vigilant & engaged / the arc of the moral universe is long, but it bends toward justice (this is just a temporary detour); we are not ovary-acting",Unclear
no war except class war / deny defend depose; the people will defeat trump's billionaire agenda; palestine flag; full citizenship rights for all immigrants; organize union & workplace committees to defend immigrants; tax strike 2025; the people united will defend immigrant families; workers should have power not the billionaires; stand with palestine / end the occupation now; injustice anywhere is a threat to justice everywhere -mlk jr.; money for people's needs not the war machine; free palestine,Unclear
the people united will defend immigrant families; healthcare and housing are human rights; the people will defeat trump's extreme right agenda; resistance against occupation is a human right; money for people's needs not the war machine; u.s. hands off the middle east,Unclear
